GLG_Player,GLG_Tm,GLG_Age,GLG_G,GLG_MP,GLG_PER,GLG_TS%,GLG_3PAr,GLG_FTr,GLG_ORB%,GLG_DRB%,GLG_TRB%,GLG_AST%,GLG_STL%,GLG_BLK%,GLG_TOV%,GLG_USG%,GLG_Ws-dum,GLG_OWS,GLG_DWS,GLG_WS,GLG_WS/48,GLG_Bpm-dum,GLG_OBPM,GLG_DBPM,GLG_BPM,GLG_VORP
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Ben Benti,FO,21,20,434,13.5,0.492,0.410,0.354,6.1,17.6,11.8,4.2,1.7,0.9,9.9,26.6,,0.1,0.4,0.4,0.048,,,,,
Davis Bertan,AU,24,4,124,16.8,0.613,0.786,0.333,2.9,9.5,6.4,10.7,2.8,4.6,17.2,20.7,,0.2,0.2,0.3,0.134,,,,,
Gerald Beverl,CA,23,40,464,18.4,0.629,0.040,0.472,15.7,16.9,16.3,1.3,0.8,3.1,6.2,14.6,,1.4,0.5,2.0,0.203,,,,,
DeJuan Blai,LO,27,13,266,15.5,0.518,0.000,0.288,15.1,16.0,15.6,6.4,1.6,0.6,13.0,25.0,,0.2,0.2,0.3,0.063,,,,,
DeJuan Blai,TOT,27,19,364,15.6,0.509,0.005,0.259,14.5,17.9,16.2,6.0,1.4,1.1,12.0,26.3,,0.1,0.3,0.4,0.053,,,,,
DeJuan Blai,TE,27,6,98,15.8,0.490,0.017,0.200,12.9,22.9,17.9,5.0,1.0,2.4,9.7,30.0,,0.0,0.1,0.1,0.027,,,,,
Jaylen Blan,SL,23,39,736,6.7,0.461,0.861,0.083,0.8,11.1,5.8,6.3,1.7,0.2,8.1,15.2,,-0.4,0.6,0.3,0.017,,,,,
Vander Blu,LO,24,47,1638,20.5,0.569,0.293,0.545,2.8,12.5,7.7,13.1,2.2,0.2,8.8,28.1,,4.0,1.1,5.1,0.149,,,,,
Maurice Bolde,AU,27,26,227,13.6,0.484,0.266,0.253,9.0,18.9,14.2,9.3,1.7,2.5,11.1,19.2,,0.1,0.3,0.4,0.080,,,,,
Joel Bolombo,SL,23,24,826,22.3,0.631,0.187,0.579,14.0,27.5,20.6,8.6,1.0,3.0,14.4,19.3,,2.2,1.2,3.4,0.198,,,,,
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Jaylen Bon,WE,23,45,837,16.4,0.499,0.115,0.178,14.8,23.5,19.1,11.0,1.8,0.9,9.8,19.1,,1.0,0.9,1.9,0.109,,,,,
Askia Booke,NA,23,42,1333,14.0,0.494,0.377,0.270,2.9,11.3,6.9,26.4,1.8,0.2,13.7,23.9,,0.5,1.4,1.9,0.069,,,,,
Jamal Branc,RE,24,25,342,6.8,0.451,0.148,0.183,1.6,11.2,6.4,22.5,2.1,0.8,25.3,20.5,,-0.8,0.3,-0.5,-0.069,,,,,
Devin Brook,WC,24,3,36,0.8,0.180,0.308,0.154,0.0,17.9,8.8,28.7,1.4,4.5,17.8,20.0,,-0.2,0.1,-0.1,-0.191,,,,,
Devin Brook,TOT,24,15,278,8.9,0.410,0.234,0.266,3.3,10.3,6.6,24.5,2.4,0.9,16.0,18.2,,-0.3,0.3,0.0,0.002,,,,,
Devin Brook,LI,24,12,242,10.1,0.444,0.222,0.284,3.7,9.1,6.3,23.9,2.5,0.3,15.7,18.0,,-0.1,0.2,0.2,0.031,,,,,
Alec Brow,WC,24,50,1168,17.4,0.558,0.341,0.128,9.3,14.4,11.9,5.8,1.6,6.6,10.0,19.3,,1.6,1.8,3.3,0.137,,,,,
Anthony Brow,ER,24,24,906,15.6,0.597,0.345,0.353,1.8,14.2,7.9,13.7,1.3,0.4,15.7,23.4,,1.0,0.6,1.6,0.084,,,,,
Jabari Brow,SA,24,9,243,25.5,0.705,0.436,0.496,1.7,12.0,7.0,19.1,0.6,0.6,13.4,28.3,,1.1,0.2,1.3,0.248,,,,,
Lorenzo Brow,GR,26,11,393,24.2,0.562,0.251,0.315,5.5,17.5,11.3,19.2,2.3,1.1,7.6,27.1,,1.1,0.4,1.5,0.184,,,,,
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Nicolas Brussin,TE,23,5,179,22.8,0.808,0.581,0.442,4.7,17.9,11.3,17.7,2.1,2.6,14.9,13.7,,0.8,0.1,0.9,0.248,,,,,
Michael Bryso,NA,22,46,824,9.6,0.516,0.614,0.126,2.5,12.6,7.3,6.3,1.1,3.9,8.1,12.6,,0.5,1.0,1.5,0.085,,,,,
Alec Burk,SL,25,1,21,7.2,0.355,0.471,0.176,9.9,15.7,12.7,26.9,2.3,0.0,14.1,43.8,,-0.1,0.0,-0.1,-0.246,,,,,
Trahson Burrel,LI,24,49,1492,16.0,0.563,0.239,0.222,7.9,15.8,11.7,16.2,2.2,1.4,15.7,18.2,,1.8,1.6,3.4,0.108,,,,,
Derrick Byar,DE,32,13,226,4.9,0.377,0.541,0.098,2.9,12.2,7.6,7.6,0.4,1.0,8.6,12.9,,-0.2,0.1,-0.1,-0.024,,,,,
Will Bynu,WC,34,22,595,18.3,0.539,0.354,0.358,1.4,9.2,5.3,36.1,3.0,0.4,15.4,24.1,,1.0,0.7,1.7,0.138,,,,,
Bruno Cabocl,RA,21,34,920,12.5,0.502,0.486,0.090,4.8,17.1,11.2,7.0,1.9,4.0,11.6,18.1,,0.1,1.7,1.8,0.095,,,,,
Jason Callist,MA,27,19,319,10.1,0.667,0.754,0.295,2.1,11.8,7.2,10.6,0.9,0.0,19.8,11.9,,0.4,0.3,0.7,0.098,,,,,
Kevin Caper,WE,23,48,1100,10.8,0.495,0.263,0.463,1.5,8.8,5.0,14.6,3.1,0.7,15.2,19.9,,-0.3,1.1,0.8,0.033,,,,,
Alex Carus,OK,22,50,1513,15.4,0.574,0.342,0.376,3.1,10.8,7.0,25.6,3.5,1.7,23.2,19.2,,0.9,2.9,3.8,0.122,,,,,
