GLG_Player,GLG_Tm,GLG_Age,GLG_G,GLG_MP,GLG_PER,GLG_TS%,GLG_3PAr,GLG_FTr,GLG_ORB%,GLG_DRB%,GLG_TRB%,GLG_AST%,GLG_STL%,GLG_BLK%,GLG_TOV%,GLG_USG%,GLG_Ws-dum,GLG_OWS,GLG_DWS,GLG_WS,GLG_WS/48,GLG_Bpm-dum,GLG_OBPM,GLG_DBPM,GLG_BPM,GLG_VORP
Jalil Abdul-Bassi,ID,23,2,26,6.8,0.463,0.364,0.182,0.0,8.7,4.3,6.2,0.0,0.0,0.0,20.3,,0.0,0.0,0.0,0.036,,-4.0,-4.9,-8.9,-0.1
Antoine Agudi,CA,31,36,590,8.6,0.587,0.622,0.207,0.9,6.4,3.7,8.6,1.2,0.0,12.0,12.4,,0.5,0.5,1.1,0.086,,-0.2,-0.6,-0.8,0.3
Ronnie Aguila,TE,28,6,55,4.3,0.474,0.000,0.308,10.3,23.9,17.2,2.5,1.8,3.0,32.2,17.0,,-0.1,0.1,-0.1,-0.070,,-8.3,-0.3,-8.6,-0.1
Cliff Alexande,SA,20,4,108,16.4,0.554,0.000,0.292,7.0,22.1,14.5,3.2,0.9,6.4,14.2,25.2,,0.0,0.2,0.1,0.061,,-6.0,-0.2,-6.2,-0.2
Mychal Ammon,ID,24,14,187,4.7,0.355,0.073,0.146,12.5,18.2,15.3,9.1,1.9,0.5,25.6,13.9,,-0.3,0.2,-0.1,-0.026,,-6.2,1.4,-4.8,-0.2
Justin Anderso,TE,22,7,268,16.8,0.546,0.350,0.175,1.7,11.4,6.6,15.0,0.6,1.2,8.1,25.8,,0.4,0.0,0.4,0.073,,1.3,-3.5,-2.1,0.0
Mike Anderso,RA,24,1,5,11.7,,,,0.0,42.4,21.9,25.2,9.9,0.0,100.0,8.7,,0.0,0.0,0.0,-0.001,,-10.1,12.4,2.3,0.0
Zach Andrew,LO,30,19,250,14.7,0.609,0.060,0.373,9.3,17.8,13.4,6.7,2.3,4.7,20.4,16.7,,0.2,0.3,0.5,0.100,,-2.2,2.2,0.1,0.2
Zach Andrew,IO,30,2,41,9.7,0.429,0.000,0.000,2.7,37.8,20.3,8.0,1.2,4.2,17.6,18.3,,-0.1,0.1,0.0,0.007,,-9.2,3.1,-6.1,-0.1
Zach Andrew,TOT,30,21,291,14.0,0.582,0.049,0.309,8.3,20.6,14.3,6.9,2.2,4.7,20.0,16.9,,0.1,0.4,0.5,0.087,,-3.2,2.3,-0.8,0.1
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Thanasis Antetokounmp,WE,23,44,1205,14.0,0.562,0.274,0.392,5.8,13.4,9.7,7.9,1.5,3.7,15.1,18.3,,0.7,1.7,2.4,0.095,,-0.6,1.7,1.1,1.6
Keith Applin,ER,23,35,1129,21.3,0.577,0.149,0.443,2.0,13.8,7.6,28.4,2.6,0.6,12.3,25.7,,2.7,1.0,3.7,0.157,,3.3,-0.6,2.7,2.2
Brandon Ashle,TE,21,33,1045,14.1,0.546,0.290,0.238,4.0,19.5,11.9,9.9,1.5,3.5,15.4,21.7,,0.3,0.9,1.1,0.052,,-1.3,0.6,-0.7,0.6
Darion Atkin,WE,23,50,1472,11.2,0.469,0.013,0.071,6.6,20.6,13.9,8.9,1.7,3.7,16.7,16.6,,-1.2,2.5,1.3,0.042,,-3.9,3.4,-0.5,0.9
Eric Atkin,ER,24,24,582,9.4,0.512,0.360,0.201,2.3,6.4,4.3,18.7,2.0,0.5,17.9,14.0,,0.1,0.3,0.4,0.034,,-1.7,-1.5,-3.3,-0.3
Jeff Ayre,LO,28,2,65,23.6,0.631,0.150,0.700,16.2,28.1,21.9,7.0,0.0,0.0,0.0,17.2,,0.3,0.0,0.4,0.283,,3.2,-3.4,-0.2,0.0
Jeff Ayre,ID,28,25,810,19.9,0.649,0.028,0.554,6.6,25.7,16.0,11.6,1.2,3.2,16.6,20.5,,1.9,1.2,3.1,0.182,,-0.3,2.3,2.0,1.3
Jeff Ayre,TOT,28,27,875,20.2,0.647,0.037,0.565,7.3,25.9,16.5,11.3,1.1,3.0,15.5,20.3,,2.2,1.2,3.5,0.190,,-0.1,1.9,1.8,1.4
Dallin Bachynsk,GR,24,13,102,8.2,0.450,0.083,0.250,12.7,19.7,16.2,2.8,1.0,0.9,10.1,13.0,,0.0,0.1,0.1,0.042,,-3.0,-2.3,-5.3,-0.1
Jordan Bachynsk,WE,26,49,1339,19.4,0.611,0.002,0.434,8.8,19.4,14.3,5.2,0.7,7.0,13.2,19.9,,2.3,2.2,4.6,0.164,,-0.6,2.6,1.9,2.2
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Cameron Bairsto,AU,25,5,133,16.7,0.526,0.034,0.288,8.7,23.8,16.6,7.8,1.5,1.8,16.4,26.8,,0.0,0.2,0.2,0.077,,-3.8,0.0,-3.9,-0.1
Maurice Bake,SA,36,19,332,7.5,0.422,0.162,0.095,4.2,12.1,8.1,12.1,2.0,0.3,11.5,11.3,,-0.1,0.3,0.2,0.032,,-4.3,0.5,-3.8,-0.3
Kelsey Barlo,GR,24,47,1502,11.7,0.519,0.427,0.155,1.7,15.5,8.6,10.2,1.6,0.9,10.9,18.8,,0.5,0.8,1.2,0.040,,0.1,-0.9,-0.8,0.8
Bo Barne,TE,25,3,25,5.7,0.438,0.500,0.000,0.0,8.8,4.5,5.6,2.0,0.0,11.1,15.5,,0.0,0.0,0.0,-0.046,,-4.4,-2.8,-7.2,-0.1
Antonio Barto,CA,24,3,32,-11.9,0.152,0.444,0.222,0.0,3.5,1.7,3.9,0.0,0.0,28.8,18.9,,-0.3,0.0,-0.2,-0.353,,-14.6,-2.5,-17.1,-0.2
Anthony Bennet,RA,22,6,107,12.9,0.442,0.429,0.250,2.1,16.8,9.7,6.1,2.8,3.0,7.4,27.4,,-0.1,0.2,0.0,0.014,,-4.0,-0.7,-4.7,-0.1
Keith Benso,SF,27,49,1168,22.8,0.612,0.015,0.328,12.5,24.4,18.7,5.7,0.9,5.6,12.5,24.1,,2.8,2.4,5.3,0.216,,0.0,1.5,1.5,1.7
Davion Berr,RA,24,10,336,18.3,0.673,0.322,0.357,0.3,7.9,4.2,18.2,1.6,0.2,13.1,19.9,,0.9,0.3,1.2,0.174,,2.9,-1.6,1.3,0.5
Davion Berr,MA,24,31,702,9.6,0.548,0.417,0.307,1.0,8.4,4.7,17.6,1.0,0.3,18.0,16.5,,0.4,0.4,0.8,0.053,,-1.4,-1.9,-3.3,-0.4
Davion Berr,TOT,24,41,1038,12.4,0.595,0.381,0.326,0.8,8.2,4.6,17.8,1.2,0.3,16.2,17.6,,1.3,0.7,2.0,0.092,,0.0,-1.8,-1.8,0.1
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Sim Bhulla,RA,23,39,850,19.9,0.656,0.000,0.545,10.1,24.2,17.4,8.0,1.1,4.8,16.6,17.6,,1.7,1.4,3.1,0.174,,-0.1,2.7,2.6,1.6
Tarik Blac,LO,24,8,257,19.9,0.592,0.011,0.404,12.7,27.9,20.0,5.1,1.1,5.9,15.9,21.9,,0.3,0.4,0.7,0.125,,-2.2,1.2,-1.0,0.1
Vander Blu,LO,23,48,1836,20.3,0.560,0.288,0.460,2.8,11.9,7.2,15.0,2.3,0.1,8.9,28.8,,3.9,1.3,5.2,0.136,,2.8,-1.7,1.1,2.3
Ryan Boatrigh,GR,23,20,422,15.8,0.517,0.288,0.283,0.6,16.2,8.4,22.2,1.8,0.2,13.0,26.1,,0.2,0.2,0.4,0.046,,0.1,-2.2,-2.1,0.0
Keith Bogan,WE,35,7,106,1.1,0.349,0.583,0.167,5.5,12.2,8.9,2.4,1.4,0.0,31.8,7.8,,-0.2,0.1,-0.1,-0.030,,-5.4,0.4,-5.1,-0.1
John Bohanno,TOT,24,44,1018,13.5,0.534,0.087,0.384,10.2,22.3,16.0,9.4,1.8,3.1,18.4,14.7,,0.5,1.1,1.6,0.074,,-1.8,1.9,0.1,0.9
John Bohanno,ER,24,20,385,10.6,0.434,0.037,0.299,11.7,23.6,17.4,9.6,2.1,3.8,22.4,17.9,,-0.6,0.5,-0.1,-0.014,,-5.3,2.2,-3.1,-0.2
John Bohanno,DE,24,24,633,15.3,0.609,0.126,0.452,9.2,21.5,15.2,9.3,1.6,2.7,15.2,12.7,,1.1,0.6,1.7,0.128,,0.3,1.8,2.1,1.1
Askia Booke,BA,22,47,974,18.1,0.543,0.200,0.349,2.2,15.0,8.5,28.8,1.8,0.1,14.7,29.2,,1.0,0.6,1.6,0.079,,0.9,-1.9,-1.1,0.4
Aaron Bowe,ER,24,36,579,10.2,0.539,0.061,0.183,7.6,12.1,9.8,6.5,1.8,1.0,16.9,16.3,,0.0,0.4,0.4,0.035,,-2.8,-0.8,-3.7,-0.4
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Jamal Branc,LO,23,10,64,6.1,0.468,0.300,0.400,1.6,3.6,2.6,16.3,2.3,0.0,20.3,9.8,,0.0,0.0,0.0,0.029,,-3.9,-1.9,-5.8,-0.1
Ronnie Brewe,SA,30,41,1028,11.4,0.470,0.243,0.098,3.5,16.5,9.9,11.3,2.5,1.8,10.9,15.0,,-0.4,1.4,1.1,0.050,,-3.3,1.9,-1.4,0.2
