Rk,NBA_Player,Pos,NBA_Age,NBA_Tm,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS/48,,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
97,Zach Collins\colliza01,C,20,POR,33,496,8.5,0.491,0.326,0.123,5.7,18.3,12.1,7.3,1.0,2.4,16.6,15.5,,-0.2,0.6,0.4,0.039,,-3.7,0.9,-2.7,-0.1
98,Kyle Collinsworth\colliky01,SF,26,DAL,8,81,11.3,0.592,0.100,0.800,5.4,21.4,13.2,10.4,2.5,0.0,18.2,9.3,,0.1,0.1,0.2,0.106,,-2.7,2.0,-0.8,0.0
99,Darren Collison\collida01,PG,30,IND,47,1421,18.8,0.611,0.319,0.232,2.1,7.9,5.0,25.0,2.3,0.6,11.0,17.5,,4.1,1.2,5.2,0.176,,3.2,-1.0,2.2,1.5
100,Nick Collison\collini01,PF,37,OKC,8,44,14.5,0.838,0.000,0.667,7.5,21.1,14.1,9.6,0.0,0.0,20.5,9.6,,0.1,0.0,0.2,0.177,,-0.7,-1.8,-2.5,0.0
101,Mike Conley\conlemi01,PG,30,MEM,12,373,15.9,0.520,0.458,0.393,0.0,8.5,4.2,22.7,1.6,0.7,8.4,26.3,,0.5,0.2,0.7,0.088,,1.3,-3.2,-1.9,0.0
102,Pat Connaughton\connapa01,SG,25,POR,49,985,10.6,0.568,0.554,0.124,2.2,10.2,6.3,9.3,0.6,1.2,9.3,13.9,,1.2,0.8,2.0,0.096,,-0.1,-0.6,-0.7,0.3
103,Quinn Cook\cookqu01,PG,24,GSW,10,103,10.2,0.543,0.483,0.034,2.4,9.0,6.0,19.9,0.0,0.0,9.2,13.8,,0.2,0.0,0.2,0.095,,-0.4,-3.9,-4.4,-0.1
104,Charles Cooke\cookech01,SG,23,NOP,6,18,1.2,0.338,0.500,0.250,0.0,0.0,0.0,7.5,2.7,0.0,10.1,24.1,,-0.1,0.0,-0.1,-0.179,,-9.0,-6.1,-15.1,-0.1
105,Jack Cooley\cooleja01,PF,26,SAC,1,2,48.8,0.532,0.000,2.000,0.0,59.4,28.7,62.9,0.0,0.0,0.0,42.2,,0.0,0.0,0.0,0.533,,12.7,5.7,18.3,0.0
106,Matt Costello\costema01,C,24,SAS,3,18,3.4,0.333,0.000,0.000,6.1,36.9,21.5,0.0,0.0,9.3,25.0,10.0,,0.0,0.0,0.0,0.021,,-12.6,1.7,-10.9,0.0
107,DeMarcus Cousins\couside01,C,27,NOP,48,1737,23.1,0.583,0.340,0.456,7.0,32.1,20.0,23.9,2.2,3.7,18.9,32.3,,1.9,2.9,4.9,0.134,,1.9,3.4,5.3,3.2
108,Robert Covington\covinro01,PF,27,PHI,43,1389,13.1,0.577,0.665,0.173,2.8,16.4,9.8,8.9,2.5,1.9,14.4,17.8,,0.9,2.2,3.2,0.110,,0.6,1.6,2.2,1.5
109,Allen Crabbe\crabbal01,SG,25,BRK,45,1304,10.7,0.535,0.651,0.191,1.3,14.9,8.0,9.3,1.0,1.0,10.0,18.1,,0.6,1.1,1.6,0.061,,-0.5,-0.4,-0.9,0.4
110,Torrey Craig\craigto01,SF,27,DEN,18,243,9.3,0.561,0.587,0.413,3.7,15.4,9.5,6.7,1.4,1.4,12.8,11.2,,0.2,0.2,0.4,0.083,,-1.7,-0.4,-2.1,0.0
111,Jamal Crawford\crawfja01,SG,37,MIN,49,926,14.8,0.528,0.407,0.181,1.0,6.0,3.5,20.2,1.4,0.6,10.5,24.5,,1.0,0.2,1.3,0.066,,0.8,-4.1,-3.3,-0.3
112,Jordan Crawford\crawfjo02,SG,29,NOP,2,37,16.0,0.643,0.357,0.000,6.3,2.9,4.5,36.7,0.0,2.3,22.2,21.3,,0.1,0.0,0.1,0.126,,1.4,-5.1,-3.7,0.0
113,Jae Crowder\crowdja01,SF,27,CLE,47,1193,10.4,0.540,0.509,0.237,3.8,10.7,7.3,6.2,1.6,0.7,9.2,15.3,,0.9,0.4,1.4,0.056,,-0.5,-1.4,-1.9,0.0
114,Dante Cunningham\cunnida01,SF,30,NOP,47,1023,8.7,0.525,0.480,0.157,5.2,14.0,9.8,3.2,1.2,1.3,5.6,9.9,,0.7,0.7,1.4,0.065,,-1.6,-0.3,-1.9,0.0
115,Stephen Curry\curryst01,PG,29,GSW,34,1121,28.8,0.672,0.577,0.370,2.3,14.2,8.8,31.1,2.4,0.3,12.6,31.0,,5.3,1.3,6.7,0.285,,10.1,-1.3,8.9,3.1
116,Troy Daniels\danietr01,SG,26,PHO,49,933,11.1,0.621,0.815,0.121,0.5,6.4,3.4,4.7,0.6,0.2,8.7,17.3,,1.4,0.0,1.4,0.071,,1.9,-4.1,-2.1,0.0
117,Anthony Davis\davisan02,PF,24,NOP,42,1525,28.4,0.630,0.103,0.449,8.1,23.6,16.1,11.6,1.5,4.9,8.3,27.7,,5.8,2.1,7.9,0.248,,3.3,1.4,4.7,2.6
118,Deyonta Davis\davisde01,C,21,MEM,35,432,17.4,0.626,0.000,0.280,10.4,22.2,16.3,7.1,1.1,4.9,13.7,16.2,,0.8,0.5,1.4,0.150,,-1.5,1.4,-0.1,0.2
119,Ed Davis\davised01,C,28,POR,49,918,15.9,0.594,0.000,0.429,14.8,26.6,20.8,3.9,1.2,3.0,15.8,12.8,,1.6,1.5,3.1,0.163,,-1.4,1.6,0.2,0.5
120,Dewayne Dedmon\dedmode01,C,28,ATL,29,677,16.3,0.602,0.227,0.182,9.3,28.8,18.9,10.0,0.8,2.9,15.3,18.2,,0.9,0.7,1.7,0.117,,-0.8,0.7,-0.1,0.3
121,Sam Dekker\dekkesa01,PF,23,LAC,44,640,10.8,0.503,0.284,0.226,5.0,15.1,10.1,6.2,1.6,0.9,10.3,15.8,,0.2,0.5,0.7,0.051,,-2.6,-0.6,-3.2,-0.2
122,Malcolm Delaney\delanma01,PG,28,ATL,40,770,9.4,0.509,0.427,0.296,1.0,10.6,5.7,20.7,1.5,0.3,17.2,16.6,,0.1,0.3,0.5,0.029,,-2.4,-1.9,-4.2,-0.4
123,Matthew Dellavedova\dellama01,PG,27,MIL,32,593,8.8,0.495,0.485,0.144,2.4,8.3,5.4,28.8,1.0,0.0,23.0,14.1,,0.2,0.1,0.4,0.029,,-2.2,-3.8,-6.0,-0.6
124,Luol Deng\denglu01,SF,32,LAL,1,13,5.6,0.500,0.000,0.000,0.0,0.0,0.0,10.1,3.7,0.0,33.3,9.7,,0.0,0.0,0.0,-0.018,,-7.3,-1.3,-8.6,0.0
125,DeMar DeRozan\derozde01,SG,28,TOR,47,1625,22.8,0.569,0.170,0.412,2.7,10.6,6.7,24.7,1.7,0.6,9.9,30.0,,4.8,1.7,6.5,0.192,,3.5,-0.7,2.8,2.0
126,Cheick Diallo\diallch01,PF,21,NOP,22,147,12.3,0.586,0.000,0.356,8.7,25.1,17.2,5.0,0.3,0.6,13.3,17.9,,0.2,0.1,0.3,0.090,,-4.0,-2.9,-6.9,-0.2
127,Gorgui Dieng\dienggo01,C,28,MIN,48,866,15.6,0.558,0.176,0.299,8.7,21.8,15.1,8.3,2.1,2.3,12.7,16.2,,1.2,0.9,2.1,0.119,,-0.3,0.9,0.6,0.6
128,Spencer Dinwiddie\dinwisp01,PG,24,BRK,48,1355,16.9,0.534,0.517,0.287,2.0,10.5,6.2,36.1,1.3,1.0,11.2,21.2,,2.9,1.1,3.9,0.139,,2.9,-1.3,1.6,1.2
129,Tyler Dorsey\dorsety01,SG,21,ATL,22,189,7.5,0.460,0.571,0.129,1.8,17.0,9.3,8.6,0.8,0.5,8.6,18.8,,-0.1,0.1,0.0,-0.009,,-3.7,-3.0,-6.7,-0.2
130,Damyean Dotson\dotsoda01,SG,23,NYK,21,176,10.3,0.535,0.442,0.096,2.6,14.4,8.7,7.3,0.9,0.5,6.9,14.6,,0.1,0.1,0.2,0.067,,-1.1,-2.0,-3.1,-0.1
131,Milton Doyle\doylemi01,SG,24,BRK,6,63,4.6,0.342,0.520,0.120,3.3,11.9,7.5,9.5,1.5,1.2,7.1,19.3,,-0.2,0.1,-0.1,-0.074,,-5.9,-1.2,-7.2,-0.1
132,Goran Dragic\dragigo01,PG,31,MIA,43,1379,16.1,0.531,0.286,0.261,2.5,12.3,7.5,26.0,1.4,0.6,13.2,26.8,,1.1,1.3,2.4,0.083,,0.6,-1.0,-0.4,0.6
133,Larry Drew\drewla02,PG,27,PHI,2,12,-14.3,0.000,0.500,0.000,9.4,0.0,4.5,10.1,0.0,0.0,20.0,17.7,,-0.1,0.0,-0.1,-0.354,,-13.7,-3.6,-17.2,0.0
134,Andre Drummond\drumman01,C,24,DET,44,1456,23.9,0.575,0.011,0.457,16.5,36.1,26.0,18.6,2.4,3.6,18.1,20.9,,3.1,3.2,6.3,0.207,,1.5,5.7,7.3,3.4
135,Jared Dudley\dudleja01,PF,32,PHO,23,308,11.4,0.557,0.638,0.224,2.4,13.9,8.1,21.6,2.0,0.8,14.7,10.3,,0.5,0.2,0.6,0.101,,-0.2,-0.3,-0.6,0.1
136,Kris Dunn\dunnkr01,PG,23,CHI,40,1185,15.1,0.483,0.191,0.139,1.9,15.1,8.3,35.3,3.4,1.3,17.2,25.3,,-0.8,1.6,0.8,0.034,,-1.2,1.7,0.5,0.7
137,Kevin Durant\duranke01,PF,29,GSW,41,1425,25.4,0.632,0.342,0.294,1.9,18.9,11.2,25.7,1.2,4.7,13.5,29.9,,4.2,2.0,6.2,0.210,,4.5,1.4,5.9,2.8
138,Jarell Eddie\eddieja01,SF,26,BOS,2,6,4.0,0.000,1.000,0.000,0.0,17.8,9.1,0.0,8.3,0.0,0.0,7.5,,0.0,0.0,0.0,-0.021,,-8.6,5.3,-3.4,0.0
139,Henry Ellenson\ellenhe01,PF,21,DET,18,120,9.1,0.463,0.404,0.053,2.7,31.0,16.5,8.1,1.3,0.0,13.4,24.9,,-0.2,0.2,-0.1,-0.027,,-6.2,-2.1,-8.2,-0.2
140,Wayne Ellington\ellinwa01,SG,30,MIA,48,1246,13.8,0.607,0.834,0.110,1.3,11.5,6.5,6.5,1.3,0.4,6.6,17.6,,1.9,1.1,3.0,0.116,,2.5,-1.8,0.7,0.8
141,Joel Embiid\embiijo01,C,23,PHI,36,1131,22.9,0.580,0.180,0.469,7.9,29.0,18.8,18.9,0.9,4.9,16.6,32.9,,1.6,2.1,3.7,0.156,,0.3,2.5,2.8,1.4
142,James Ennis\ennisja01,SF,27,MEM,41,968,12.3,0.625,0.385,0.345,5.6,11.5,8.5,7.0,1.4,1.0,13.2,12.5,,1.5,0.6,2.2,0.108,,0.0,-0.2,-0.2,0.4
143,Tyler Ennis\ennisty01,PG,23,LAL,29,333,10.0,0.430,0.269,0.148,2.5,11.3,6.9,23.6,1.7,1.2,9.4,16.1,,0.1,0.3,0.4,0.055,,-3.1,-0.7,-3.8,-0.1
144,Jawun Evans\evansja01,PG,21,LAC,38,701,7.3,0.412,0.205,0.197,1.3,10.8,6.1,18.7,2.4,0.7,13.9,18.7,,-0.9,0.6,-0.2,-0.017,,-4.5,-0.3,-4.8,-0.5
145,Tyreke Evans\evansty01,PG,28,MEM,45,1404,21.5,0.559,0.349,0.252,3.1,16.1,9.6,30.6,1.7,0.9,10.7,28.4,,3.0,1.2,4.2,0.144,,4.5,-0.6,3.9,2.1
146,Kenneth Faried\farieke01,PF,28,DEN,30,446,18.1,0.566,0.007,0.348,16.0,20.6,18.3,6.2,1.3,2.3,12.4,18.1,,0.9,0.5,1.4,0.148,,-0.8,-0.6,-1.5,0.1
147,Derrick Favors\favorde01,C,26,UTA,46,1293,18.5,0.581,0.056,0.311,10.0,19.0,14.4,8.6,1.4,3.1,11.2,19.1,,2.4,1.6,4.0,0.148,,-0.1,1.6,1.5,1.1
148,Kay Felder\feldeka01,PG,22,CHI,14,134,3.8,0.386,0.273,0.182,0.8,10.7,5.6,22.9,1.1,0.6,17.4,28.2,,-0.5,0.1,-0.5,-0.163,,-8.2,-3.1,-11.3,-0.3
149,Cristiano Felicio\feliccr01,C,25,CHI,26,342,10.4,0.622,0.000,0.438,7.9,14.2,11.0,6.8,0.6,1.3,18.2,12.0,,0.4,0.2,0.6,0.083,,-2.9,-0.2,-3.0,-0.1
150,Raymond Felton\feltora01,PG,33,OKC,48,818,14.3,0.507,0.377,0.080,2.3,11.9,7.0,23.6,1.7,0.9,11.6,20.1,,0.9,0.9,1.7,0.101,,-0.6,-1.6,-2.2,0.0
151,Terrance Ferguson\fergute01,SG,19,OKC,33,404,6.8,0.506,0.667,0.040,3.0,3.2,3.1,3.1,2.0,1.2,7.4,11.7,,0.2,0.4,0.5,0.065,,-1.7,-1.1,-2.9,-0.1
152,Yogi Ferrell\ferreyo01,SG,24,DAL,49,1415,11.6,0.570,0.495,0.175,1.5,12.1,6.7,12.0,1.3,0.3,10.5,16.1,,1.3,0.9,2.3,0.077,,0.1,-0.3,-0.2,0.6
153,Dorian Finney-Smith\finnedo01,PF,24,DAL,8,94,5.4,0.568,0.636,0.091,5.8,6.2,6.0,7.8,0.0,1.0,23.4,14.6,,0.0,0.0,0.0,-0.004,,-2.8,-2.0,-4.8,-0.1
154,Bryn Forbes\forbebr01,SG,24,SAS,51,1071,9.0,0.526,0.482,0.125,1.0,6.6,3.8,7.3,1.0,0.2,7.2,16.9,,0.4,1.1,1.5,0.068,,-1.1,-1.6,-2.7,-0.2
155,Evan Fournier\fournev01,SF,25,ORL,39,1279,15.5,0.576,0.395,0.215,1.6,9.2,5.4,14.5,1.4,0.8,11.0,23.4,,1.6,0.5,2.1,0.079,,1.6,-2.0,-0.4,0.5
156,De'Aaron Fox\foxde01,PG,20,SAC,41,1091,10.4,0.469,0.167,0.255,1.8,9.6,5.6,24.8,1.8,0.9,17.5,22.9,,-1.1,0.4,-0.7,-0.030,,-3.3,-1.8,-5.1,-0.9
157,Tim Frazier\fraziti01,PG,27,WAS,35,523,11.0,0.505,0.346,0.168,1.9,12.6,7.2,30.2,2.5,0.5,25.8,13.0,,0.2,0.6,0.8,0.073,,-2.4,-0.1,-2.5,-0.1
158,Channing Frye\fryech01,C,34,CLE,38,435,13.1,0.603,0.512,0.055,1.8,18.2,10.2,8.5,1.4,1.8,8.4,14.5,,0.6,0.3,0.9,0.096,,-0.5,-1.0,-1.5,0.1
159,Markelle Fultz\fultzma01,SG,19,PHI,4,76,3.7,0.372,0.000,0.444,4.4,8.2,6.4,13.1,1.3,1.1,15.7,21.4,,-0.2,0.1,-0.1,-0.082,,-8.5,-1.2,-9.8,-0.1
160,Danilo Gallinari\gallida01,SF,29,LAC,11,349,10.2,0.475,0.446,0.259,0.6,14.5,7.6,11.9,1.1,0.5,9.4,21.3,,-0.1,0.2,0.2,0.022,,-2.2,-1.7,-3.9,-0.2
161,Langston Galloway\gallola01,SG,26,DET,38,574,13.3,0.523,0.656,0.125,1.7,11.6,6.5,9.3,2.1,0.6,4.8,19.2,,0.6,0.7,1.2,0.101,,0.6,-1.3,-0.7,0.2
162,Marc Gasol\gasolma01,C,33,MEM,47,1619,17.6,0.530,0.287,0.341,4.2,24.5,14.3,20.1,1.0,4.0,14.0,26.2,,1.0,2.0,3.0,0.088,,-0.4,1.8,1.4,1.4
163,Pau Gasol\gasolpa01,C,37,SAS,48,1216,19.1,0.555,0.215,0.303,6.6,29.5,18.1,20.6,0.6,3.4,13.1,19.8,,2.1,2.3,4.4,0.173,,0.3,3.3,3.6,1.7
164,Rudy Gay\gayru01,PF,31,SAS,34,771,17.6,0.557,0.223,0.301,6.6,18.7,12.6,11.0,1.8,2.4,13.4,23.6,,0.7,1.4,2.1,0.131,,-0.6,1.3,0.7,0.5
165,Paul George\georgpa01,SF,27,OKC,45,1638,18.1,0.568,0.448,0.268,2.5,15.0,8.6,13.1,3.0,1.5,13.2,25.2,,2.3,2.5,4.9,0.143,,1.8,0.4,2.3,1.8
166,Marcus Georges-Hunt\georgma01,SG,23,MIN,30,181,5.2,0.467,0.359,0.410,3.8,3.9,3.9,5.1,1.1,0.0,6.1,12.0,,0.0,0.0,0.1,0.018,,-2.2,-2.8,-5.0,-0.1
167,Taj Gibson\gibsota01,PF,32,MIN,51,1718,15.9,0.608,0.064,0.257,8.9,17.5,13.1,5.8,1.3,1.9,10.3,14.5,,3.6,1.2,4.8,0.133,,1.3,0.5,1.8,1.6
168,Manu Ginobili\ginobma01,SG,40,SAS,37,759,13.6,0.567,0.429,0.252,1.7,10.2,6.0,18.3,1.7,1.3,17.1,21.2,,0.4,1.1,1.5,0.097,,-0.3,-0.2,-0.5,0.3
169,Rudy Gobert\goberru01,C,25,UTA,23,694,20.0,0.622,0.000,0.663,10.2,27.3,18.6,6.2,1.0,7.1,16.1,17.9,,1.2,1.2,2.4,0.169,,-1.8,3.8,2.0,0.7
170,Aaron Gordon\gordoaa01,PF,22,ORL,38,1285,16.9,0.550,0.394,0.275,5.2,21.6,13.4,10.0,1.3,1.6,10.5,23.9,,1.2,1.0,2.2,0.083,,0.5,-0.6,-0.1,0.6
171,Eric Gordon\gordoer01,SG,29,HOU,45,1471,15.3,0.568,0.611,0.263,1.4,7.0,4.2,12.9,1.0,0.9,11.1,25.8,,2.0,0.9,2.9,0.096,,1.4,-3.1,-1.6,0.1
172,Marcin Gortat\gortama01,C,33,WAS,48,1279,15.0,0.556,0.000,0.335,9.3,24.2,16.8,9.6,1.0,2.4,13.1,15.1,,1.6,1.6,3.2,0.121,,-1.4,1.9,0.5,0.8
173,Treveon Graham\grahatr01,SG,24,CHO,34,576,8.9,0.549,0.414,0.233,4.0,9.8,6.9,8.2,1.3,0.1,11.5,12.4,,0.5,0.5,1.0,0.081,,-1.1,-0.1,-1.2,0.1
174,Jerami Grant\grantje01,PF,23,OKC,47,957,13.5,0.564,0.252,0.420,5.5,15.2,10.2,5.3,1.1,4.2,10.6,15.0,,1.2,1.2,2.5,0.123,,-1.9,0.8,-1.2,0.2
175,Jerian Grant\grantje02,PG,25,CHI,49,1083,14.5,0.526,0.367,0.367,1.8,9.7,5.6,32.1,1.7,0.4,13.9,17.4,,1.6,0.7,2.3,0.102,,-0.2,-1.8,-2.0,0.0
176,Danny Green\greenda02,SG,30,SAS,40,1058,11.7,0.515,0.558,0.094,2.0,13.1,7.5,10.4,1.9,3.6,12.4,16.2,,0.0,1.9,1.9,0.086,,-1.1,2.6,1.5,0.9
177,Draymond Green\greendr01,PF,27,GSW,42,1361,17.2,0.574,0.442,0.305,4.1,21.4,13.5,29.4,1.9,3.2,21.8,16.9,,2.3,2.1,4.4,0.155,,1.3,2.8,4.1,2.1
178,Gerald Green\greenge01,SG,32,HOU,11,271,15.7,0.597,0.686,0.182,2.1,11.4,6.7,5.3,1.3,1.0,7.1,22.5,,0.5,0.2,0.7,0.126,,1.6,-3.1,-1.5,0.0
179,JaMychal Green\greenja01,PF,27,MEM,30,804,13.8,0.541,0.273,0.241,10.6,21.7,16.1,7.4,1.2,1.0,14.1,18.5,,0.6,0.8,1.4,0.081,,-1.2,-0.6,-1.8,0.0
180,Jeff Green\greenje02,PF,31,CLE,47,1050,16.6,0.596,0.238,0.402,5.0,12.3,8.7,9.0,1.3,1.5,9.7,20.2,,2.2,0.4,2.7,0.122,,0.3,-1.7,-1.5,0.1
181,Blake Griffin\griffbl01,PF,28,LAC,32,1101,20.5,0.551,0.325,0.388,4.7,20.4,12.6,26.5,1.3,0.7,13.3,29.7,,1.9,1.0,2.9,0.127,,3.1,0.0,3.1,1.4
182,Daniel Hamilton\hamilda02,SG,22,OKC,2,9,47.3,0.700,0.400,0.000,0.0,12.9,6.3,91.0,5.6,0.0,0.0,24.1,,0.1,0.0,0.1,0.663,,19.1,-2.4,16.7,0.0
183,Tim Hardaway\hardati02,SG,25,NYK,28,926,16.8,0.554,0.496,0.246,2.3,12.2,7.3,14.6,1.7,0.7,8.6,23.7,,1.5,0.7,2.2,0.113,,3.2,-1.5,1.7,0.9
184,James Harden\hardeja01,SG,28,HOU,40,1433,29.7,0.618,0.504,0.473,1.5,13.7,7.6,45.4,2.4,1.6,14.7,35.6,,6.8,1.8,8.6,0.287,,9.6,0.3,9.9,4.3
185,Maurice Harkless\harklma01,SF,24,POR,39,778,9.7,0.526,0.369,0.190,3.6,10.8,7.3,4.5,1.7,3.2,13.4,12.7,,0.1,1.0,1.1,0.068,,-2.4,2.0,-0.4,0.3
186,Montrezl Harrell\harremo01,C,24,LAC,42,648,21.9,0.621,0.008,0.427,9.9,18.5,14.2,7.7,1.4,3.4,10.9,22.2,,1.7,0.7,2.3,0.174,,0.4,0.0,0.4,0.4
187,Devin Harris\harride01,PG,34,DAL,40,730,13.5,0.552,0.442,0.407,1.2,10.6,5.8,16.0,2.1,0.9,12.6,21.9,,0.6,0.7,1.3,0.082,,-0.4,-0.9,-1.3,0.1
188,Gary Harris\harriga01,SG,23,DEN,44,1532,17.1,0.600,0.445,0.165,2.0,7.0,4.5,14.6,2.8,0.7,11.8,20.3,,2.8,1.4,4.2,0.130,,2.7,-0.8,2.0,1.5
189,Joe Harris\harrijo01,SG,26,BRK,47,1164,13.0,0.623,0.610,0.148,2.2,10.8,6.5,8.9,0.9,0.6,10.2,16.2,,1.8,0.8,2.6,0.105,,1.3,-1.0,0.3,0.7
190,Tobias Harris\harrito02,PF,25,DET,46,1504,17.1,0.565,0.386,0.189,2.5,15.6,8.9,10.1,1.1,0.9,6.3,23.0,,2.7,1.5,4.2,0.135,,1.7,-1.0,0.7,1.0
191,Andrew Harrison\harrian01,PG,23,MEM,40,859,11.1,0.513,0.344,0.396,2.1,9.3,5.7,17.9,1.7,1.8,14.8,18.3,,0.3,0.6,0.9,0.050,,-2.0,-0.7,-2.7,-0.2
192,Josh Hart\hartjo01,SG,22,LAL,43,833,9.9,0.554,0.526,0.230,2.3,14.3,8.2,6.7,1.7,0.9,9.3,12.0,,0.6,0.8,1.5,0.086,,-1.7,0.3,-1.4,0.1
193,Udonis Haslem\hasleud01,C,37,MIA,8,45,4.9,0.500,0.600,0.000,5.1,7.6,6.4,9.1,0.0,1.9,28.6,7.1,,0.0,0.0,0.0,0.023,,-4.2,-0.3,-4.6,0.0
194,Nigel Hayes\hayesni01,SF,23,LAL,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.002,,-6.7,0.1,-6.5,0.0
195,Gordon Hayward\haywago01,SF,27,BOS,1,5,7.5,0.500,0.500,0.000,0.0,21.3,10.9,0.0,0.0,0.0,0.0,17.9,,0.0,0.0,0.0,0.064,,-5.9,-5.8,-11.7,0.0
196,Myke Henry\henrymy01,SF,25,MEM,4,76,5.4,0.345,0.636,0.273,3.0,13.9,8.4,7.7,4.0,4.9,19.6,18.4,,-0.3,0.1,-0.1,-0.086,,-6.8,3.1,-3.6,0.0
197,John Henson\hensojo01,C,27,MIL,46,1149,15.7,0.597,0.014,0.338,9.1,23.7,16.4,8.0,1.0,5.1,15.9,15.8,,1.4,1.3,2.7,0.112,,-1.8,1.7,-0.1,0.6
198,Juan Hernangomez\hernaju01,PF,22,DEN,18,213,9.5,0.519,0.686,0.216,7.3,14.9,11.1,5.2,0.9,1.2,11.1,12.8,,0.2,0.1,0.3,0.072,,-1.3,-1.6,-3.0,-0.1
199,Willy Hernangomez\hernawi01,C,23,NYK,23,222,16.6,0.593,0.051,0.308,11.5,20.4,16.1,15.2,1.6,2.4,22.7,22.8,,0.1,0.3,0.3,0.070,,-0.9,0.7,-0.2,0.1
200,Mario Hezonja\hezonma01,SF,22,ORL,40,691,11.3,0.538,0.441,0.114,3.3,15.6,9.4,8.1,1.9,0.8,13.2,18.7,,0.0,0.5,0.5,0.034,,-1.8,-1.0,-2.8,-0.1
201,Buddy Hield\hieldbu01,SG,24,SAC,46,1115,15.8,0.561,0.433,0.098,2.6,15.2,8.7,11.6,1.9,0.8,11.1,23.7,,0.9,0.6,1.5,0.064,,1.0,-2.0,-1.1,0.3
202,Nene Hilario\hilarne01,C,35,HOU,31,459,17.4,0.623,0.013,0.443,7.4,18.5,12.9,9.8,1.8,1.7,12.7,19.3,,1.1,0.6,1.6,0.169,,-1.0,0.3,-0.6,0.2
203,George Hill\hillge01,PG,31,SAC,38,1027,13.9,0.587,0.393,0.288,2.2,10.4,6.1,15.6,1.8,1.1,14.0,16.9,,1.3,0.4,1.7,0.080,,0.5,-1.1,-0.6,0.4
204,Darrun Hilliard\hillida01,SG,24,SAS,9,57,-2.4,0.210,0.364,0.182,0.0,7.8,3.9,9.3,1.8,0.0,20.2,11.8,,-0.2,0.1,-0.1,-0.108,,-9.1,0.2,-8.9,-0.1
205,Jrue Holiday\holidjr01,SG,27,NOP,48,1776,16.8,0.581,0.333,0.194,2.0,11.1,6.7,21.5,1.9,1.4,13.8,22.1,,2.5,1.4,3.8,0.104,,1.5,-0.4,1.1,1.4
206,Justin Holiday\holidju01,SG,28,CHI,48,1640,11.5,0.522,0.554,0.228,1.8,12.8,7.2,10.0,1.5,1.5,9.3,18.1,,0.6,1.3,1.9,0.055,,-0.5,0.1,-0.4,0.7
207,John Holland\hollajo02,SF,29,CLE,4,17,-1.2,0.375,0.500,0.000,0.0,13.0,6.6,0.0,0.0,0.0,20.0,13.1,,0.0,0.0,-0.1,-0.143,,-9.5,-5.2,-14.7,-0.1
208,Rondae Hollis-Jefferson\holliro01,SF,23,BRK,46,1301,17.2,0.550,0.085,0.423,5.4,19.0,12.1,13.8,1.4,1.8,11.5,22.3,,1.7,1.5,3.2,0.117,,-1.1,1.2,0.1,0.7
209,Richaun Holmes\holmeri01,C,24,PHI,24,367,14.9,0.549,0.159,0.190,8.3,22.7,15.8,11.0,1.2,2.3,9.3,17.4,,0.5,0.6,1.1,0.144,,-1.3,0.9,-0.5,0.1
210,Rodney Hood\hoodro01,SG,25,UTA,36,1017,14.6,0.538,0.482,0.167,1.4,10.6,5.9,10.5,1.4,0.6,10.0,27.7,,0.2,0.8,1.0,0.048,,0.2,-2.7,-2.6,-0.1
211,Al Horford\horfoal01,C,31,BOS,44,1437,18.8,0.598,0.320,0.150,5.0,20.7,13.0,26.1,0.9,2.7,14.8,17.9,,3.1,2.6,5.7,0.191,,1.9,3.2,5.0,2.6
212,Danuel House\houseda01,SG,24,PHO,12,148,9.8,0.496,0.457,0.370,4.3,14.1,9.1,5.9,1.3,0.0,8.5,16.7,,0.1,0.1,0.1,0.040,,-2.3,-2.6,-4.9,-0.1
213,Dwight Howard\howardw01,C,32,CHO,47,1442,19.1,0.560,0.004,0.738,12.1,32.5,22.2,7.4,1.1,4.7,17.9,23.9,,0.8,2.6,3.4,0.114,,-2.8,2.7,-0.1,0.7
214,Josh Huestis\huestjo01,PF,26,OKC,42,606,6.1,0.444,0.673,0.100,4.3,13.6,8.8,2.8,1.1,4.5,14.2,9.6,,-0.3,0.8,0.5,0.039,,-4.2,1.3,-2.9,-0.1
215,R.J. Hunter\hunterj01,SG,24,HOU,2,2,38.8,,,,0.0,57.3,28.4,100.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.575,,-2.4,-3.7,-6.0,0.0
216,Vince Hunter\huntevi01,PF,23,MEM,4,7,36.8,0.600,0.000,0.000,33.0,16.7,24.9,0.0,0.0,13.2,16.7,39.1,,0.0,0.0,0.0,0.115,,-3.1,-5.8,-8.9,0.0
217,Serge Ibaka\ibakase01,PF,28,TOR,42,1179,14.7,0.564,0.368,0.147,4.0,19.9,12.1,4.0,0.7,4.1,9.0,19.6,,1.2,1.7,2.8,0.116,,-0.9,0.5,-0.4,0.5
