Rk,NBA_Player,Pos,NBA_Age,NBA_Tm,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS/48,,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
27,Ron Baker\bakerro01,SG,24,NYK,28,384,9.6,0.511,0.552,0.448,1.5,7.2,4.4,15.6,3.4,1.4,20.6,10.0,,0.1,0.4,0.6,0.070,,-1.3,1.1,-0.1,0.2
28,Lonzo Ball\balllo01,PG,20,LAL,36,1222,12.2,0.436,0.489,0.125,4.1,18.3,11.2,28.9,2.1,2.1,18.9,17.9,,-0.6,1.7,1.0,0.040,,-1.5,2.4,0.9,0.9
29,J.J. Barea\bareajo01,PG,33,DAL,48,1099,17.5,0.536,0.449,0.186,0.9,15.0,7.7,42.1,1.1,0.2,15.3,25.1,,1.5,0.7,2.2,0.096,,2.2,-1.8,0.4,0.7
30,Harrison Barnes\barneha02,PF,25,DAL,49,1705,16.2,0.541,0.250,0.256,3.5,18.8,10.9,9.9,1.0,0.6,8.3,24.4,,1.5,1.3,2.9,0.080,,-0.6,-0.9,-1.5,0.2
31,Will Barton\bartowi01,SG,27,DEN,47,1469,15.5,0.535,0.410,0.224,2.9,14.6,8.7,20.1,1.6,1.7,12.1,21.0,,1.8,1.3,3.1,0.103,,0.8,-0.2,0.6,1.0
32,Nicolas Batum\batumni01,SG,29,CHO,33,1028,12.6,0.509,0.399,0.202,2.3,12.3,7.2,23.1,1.6,0.9,16.1,18.0,,0.3,1.1,1.4,0.065,,-0.4,0.6,0.2,0.6
33,Jerryd Bayless\bayleje01,SG,29,PHI,35,870,8.0,0.550,0.561,0.179,1.8,7.6,4.8,8.1,1.3,0.6,13.7,15.0,,0.3,0.8,1.1,0.059,,-1.4,-0.9,-2.3,-0.1
34,Aron Baynes\baynear01,C,31,BOS,49,885,11.7,0.509,0.032,0.226,9.4,21.3,15.5,7.5,0.8,2.8,14.5,16.4,,0.3,1.6,1.9,0.104,,-4.2,2.1,-2.1,0.0
35,Kent Bazemore\bazemke01,SG,28,ATL,48,1359,14.9,0.544,0.400,0.297,1.7,14.9,8.3,19.8,3.1,2.2,17.3,22.2,,0.3,1.6,1.9,0.066,,-0.4,1.4,1.0,1.0
36,Bradley Beal\bealbr01,SG,24,WAS,48,1734,19.9,0.568,0.353,0.282,2.5,11.1,6.8,18.1,1.6,1.1,9.8,28.4,,3.3,1.5,4.8,0.133,,3.3,-1.2,2.1,1.8
37,Malik Beasley\beaslma01,SG,21,DEN,42,444,8.2,0.479,0.452,0.170,3.3,12.0,7.6,8.1,1.3,0.6,11.0,16.0,,-0.1,0.3,0.2,0.026,,-3.1,-2.0,-5.1,-0.4
38,Michael Beasley\beaslmi01,PF,29,NYK,43,853,19.9,0.579,0.100,0.244,7.4,20.7,14.2,12.2,1.1,2.5,14.8,28.9,,0.8,0.9,1.7,0.094,,-0.2,-0.8,-1.0,0.2
39,Marco Belinelli\belinma01,SG,31,ATL,47,1098,14.4,0.552,0.499,0.206,1.3,8.1,4.7,13.7,2.0,0.2,9.4,21.2,,1.2,0.5,1.8,0.078,,0.8,-2.5,-1.7,0.1
40,Jordan Bell\belljo01,C,23,GSW,38,546,19.5,0.673,0.023,0.229,10.3,19.3,15.2,16.7,2.3,5.7,20.9,14.6,,1.3,1.0,2.2,0.197,,1.1,4.1,5.2,1.0
41,DeAndre' Bembry\bembrde01,SF,23,ATL,18,311,4.6,0.447,0.227,0.239,2.5,12.5,7.5,12.1,2.1,2.3,27.0,18.8,,-0.8,0.3,-0.6,-0.090,,-7.2,0.7,-6.5,-0.4
42,Dragan Bender\bendedr01,PF,20,PHO,49,1095,6.5,0.513,0.697,0.083,1.5,15.5,8.4,7.7,0.5,2.2,17.0,12.3,,-0.4,0.4,0.0,0.000,,-2.7,-0.2,-2.9,-0.3
43,Davis Bertans\bertada01,PF,25,SAS,47,665,14.0,0.587,0.696,0.115,2.0,13.7,7.8,9.4,1.1,2.3,9.1,17.8,,0.9,1.0,1.9,0.135,,1.0,-0.2,0.8,0.5
44,Patrick Beverley\beverpa01,SG,29,LAC,11,334,12.6,0.530,0.504,0.143,5.3,9.5,7.4,14.3,2.8,1.3,16.5,19.7,,0.1,0.3,0.4,0.060,,0.4,0.5,0.9,0.2
45,Khem Birch\birchkh01,C,25,ORL,11,86,19.8,0.506,0.000,0.214,19.0,21.8,20.4,10.4,1.1,6.3,8.9,17.0,,0.2,0.1,0.3,0.157,,-0.8,2.3,1.5,0.1
