GLG_Player,GLG_Tm,GLG_Age,GLG_G,GLG_MP,GLG_PER,GLG_TS%,GLG_3PAr,GLG_FTr,GLG_ORB%,GLG_DRB%,GLG_TRB%,GLG_AST%,GLG_STL%,GLG_BLK%,GLG_TOV%,GLG_USG%,GLG_Ws-dum,GLG_OWS,GLG_DWS,GLG_WS,GLG_WS/48,GLG_Bpm-dum,GLG_OBPM,GLG_DBPM,GLG_BPM,GLG_VORP
Alfred Aboy,RE,30,7,161,8.3,0.581,0.083,0.333,9.0,9.6,9.3,2.7,2.6,1.2,20.3,7.9,,0.1,0.0,0.2,0.048,,-1.4,0.3,-1.1,0.1
Alfred Aboy,LO,30,28,431,8.1,0.527,0.034,0.375,9.3,9.4,9.4,4.6,1.2,1.2,16.3,11.3,,0.2,0.0,0.3,0.030,,-2.1,-1.4,-3.5,-0.3
Alfred Aboy,TOT,30,35,592,8.2,0.538,0.045,0.366,9.3,9.5,9.4,4.1,1.6,1.2,17.2,10.4,,0.4,0.1,0.4,0.035,,-1.9,-0.9,-2.9,-0.2
Jordan Adam,IO,20,11,351,21.1,0.561,0.297,0.278,8.4,15.3,11.9,9.5,3.0,1.2,10.1,24.7,,0.7,0.4,1.1,0.151,,2.7,-0.2,2.5,0.7
Antoine Agudi,CA,30,49,1109,11.1,0.594,0.581,0.238,0.8,7.9,4.3,14.6,1.3,0.0,16.3,16.4,,1.2,1.2,2.4,0.105,,0.4,-0.9,-0.5,0.7
Blake Ahear,SA,30,9,191,11.8,0.566,0.588,0.265,1.1,7.6,4.6,17.1,1.5,0.0,15.6,19.8,,0.2,0.3,0.4,0.107,,-0.3,-1.4,-1.7,0.0
Joe Alexande,SA,28,13,416,22.8,0.594,0.014,0.237,10.4,15.0,12.8,6.1,1.2,4.3,8.5,26.2,,0.9,0.8,1.7,0.198,,0.4,1.0,1.4,0.6
Xavier Alexande,OK,26,48,993,10.8,0.461,0.283,0.493,7.8,13.5,10.7,8.5,2.4,1.5,13.6,16.9,,-0.3,1.7,1.4,0.068,,-2.2,2.3,0.1,0.9
Chris Alle,SF,26,12,288,8.8,0.469,0.455,0.149,0.8,7.2,4.1,14.2,0.5,0.9,10.4,22.1,,-0.2,0.1,0.0,-0.008,,-2.5,-3.0,-5.5,-0.4
Chris Alle,IO,26,30,683,11.6,0.531,0.389,0.193,2.2,8.4,5.3,10.8,0.7,0.7,11.8,21.3,,0.4,0.2,0.6,0.042,,-0.6,-2.9,-3.5,-0.4
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Chris Alle,TOT,26,42,971,10.8,0.512,0.409,0.179,1.8,8.0,5.0,11.8,0.6,0.8,11.3,21.6,,0.2,0.3,0.6,0.027,,-1.2,-2.9,-4.1,-0.9
Kyle Anderso,AU,21,26,1042,18.1,0.515,0.101,0.298,4.3,18.6,11.7,18.5,2.4,2.7,13.8,25.4,,0.6,1.5,2.1,0.095,,-0.7,2.2,1.5,1.5
Ron Anderso,WE,25,14,245,9.6,0.404,0.012,0.366,9.0,15.7,12.3,6.4,1.7,2.1,8.6,18.5,,-0.3,0.2,0.0,-0.008,,-5.1,-0.4,-5.5,-0.4
Ron Anderso,OK,25,9,125,17.8,0.617,0.000,0.370,6.9,13.3,10.2,2.6,1.6,1.9,7.0,19.1,,0.3,0.2,0.5,0.196,,-0.7,-0.5,-1.2,0.0
Ron Anderso,TOT,25,29,475,11.9,0.494,0.064,0.338,8.3,13.1,10.7,5.4,1.3,1.9,7.7,17.5,,0.2,0.4,0.6,0.065,,-2.9,-0.8,-3.8,-0.3
Ron Anderso,TE,25,6,105,10.0,0.553,0.310,0.207,8.1,6.8,7.5,6.4,0.0,1.5,5.9,13.2,,0.2,0.0,0.2,0.081,,-0.4,-2.3,-2.7,0.0
Zach Andrew,LO,29,11,267,15.8,0.640,0.000,0.509,11.5,18.2,15.0,3.4,2.8,5.0,16.7,11.6,,0.4,0.3,0.6,0.117,,-0.3,2.3,2.0,0.4
Thanasis Antetokounmp,WE,22,47,1547,15.7,0.523,0.219,0.490,8.5,12.1,10.2,8.2,2.6,4.3,14.1,20.4,,0.4,1.9,2.3,0.071,,-0.4,2.3,1.8,2.5
Keith Applin,TOT,22,38,927,12.2,0.493,0.157,0.456,1.2,11.6,6.5,22.1,1.8,0.3,15.2,21.4,,0.1,0.5,0.6,0.029,,-2.2,-1.8,-4.0,-0.8
Keith Applin,LO,22,28,610,8.4,0.426,0.220,0.315,0.9,11.4,6.3,21.5,1.9,0.4,15.6,20.5,,-0.8,0.2,-0.6,-0.048,,-4.1,-2.3,-6.4,-1.1
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Keith Applin,ER,22,10,317,19.3,0.618,0.019,0.764,1.8,12.1,6.9,23.2,1.8,0.3,14.5,23.1,,0.9,0.3,1.2,0.177,,1.4,-0.7,0.8,0.4
Jeremy Atkinso,TE,24,8,40,4.0,0.300,0.100,0.000,5.3,12.8,9.1,6.2,2.4,0.0,9.1,11.3,,-0.1,0.0,0.0,-0.033,,-6.3,-0.1,-6.4,-0.1
Manny Atkin,SF,24,3,19,-12.1,0.000,0.600,0.000,0.0,5.7,3.0,6.2,0.0,4.4,28.6,16.3,,-0.2,0.0,-0.1,-0.377,,-15.7,-0.1,-15.8,-0.1
Manny Atkin,GR,24,42,1060,14.0,0.561,0.450,0.179,5.9,13.8,9.9,6.1,2.1,0.4,11.2,17.5,,1.2,1.5,2.7,0.121,,0.8,0.5,1.3,1.5
Manny Atkin,TOT,24,45,1079,13.5,0.554,0.452,0.176,5.8,13.7,9.8,6.1,2.1,0.4,11.4,17.4,,1.0,1.5,2.5,0.112,,0.5,0.5,1.0,1.4
Kodi Augustu,ID,27,4,73,12.0,0.519,0.500,0.423,4.4,6.2,5.3,3.8,0.0,4.2,6.1,19.1,,0.1,0.0,0.1,0.046,,-1.7,-3.4,-5.1,-0.1
Cameron Ayer,RE,23,29,831,12.3,0.616,0.781,0.143,2.4,8.6,5.3,7.7,1.4,0.0,5.3,12.5,,1.7,-0.2,1.5,0.086,,2.6,-2.6,0.0,0.7
