GLG_Player,GLG_Tm,GLG_Age,GLG_G,GLG_MP,GLG_PER,GLG_TS%,GLG_3PAr,GLG_FTr,GLG_ORB%,GLG_DRB%,GLG_TRB%,GLG_AST%,GLG_STL%,GLG_BLK%,GLG_TOV%,GLG_USG%,GLG_Ws-dum,GLG_OWS,GLG_DWS,GLG_WS,GLG_WS/48,GLG_Bpm-dum,GLG_OBPM,GLG_DBPM,GLG_BPM,GLG_VORP
Tyshawn Abbot,DE,29,22,559,6.9,0.526,0.660,0.095,2.1,4.9,3.5,9.1,1.4,0.3,12.6,13.1,,0.2,0.2,0.3,0.030,,-0.7,-1.8,-2.5,-0.1
Josh Adeyey,MA,24,26,488,8.6,0.576,0.748,0.076,2.4,14.8,8.6,4.4,0.2,0.2,11.7,13.3,,0.3,0.2,0.5,0.049,,-1.0,-2.3,-3.4,-0.3
Cliff Alexande,WI,22,25,594,23.0,0.617,0.052,0.392,7.4,22.5,15.2,8.3,1.0,3.2,12.8,26.9,,1.3,0.6,1.9,0.157,,0.1,-0.9,-0.9,0.3
Daniel Alexande,AU,26,19,189,10.4,0.543,0.415,0.057,4.3,18.9,11.8,7.7,1.9,1.3,19.3,15.6,,0.0,0.3,0.3,0.070,,-2.7,0.7,-2.1,0.0
Bryce Alfor,OK,23,30,884,14.7,0.596,0.710,0.254,1.7,9.0,5.4,7.9,1.8,0.2,9.0,19.3,,1.5,0.7,2.2,0.122,,2.1,-1.6,0.5,0.9
Dakari Alle,SL,22,27,423,7.4,0.481,0.294,0.259,5.1,8.8,6.8,5.1,2.4,2.1,12.9,11.0,,0.0,0.3,0.3,0.033,,-3.4,1.2,-2.2,0.0
Kadeem Alle,MA,25,23,785,19.4,0.546,0.258,0.264,4.8,13.7,9.2,22.2,3.7,1.2,13.6,22.9,,1.2,1.0,2.2,0.134,,2.0,2.0,4.0,2.0
Richard Amard,RA,28,12,181,9.8,0.505,0.410,0.164,5.6,15.0,10.3,5.3,2.3,0.0,13.3,18.3,,0.0,0.3,0.3,0.079,,-2.4,-0.2,-2.7,0.0
Chris Anderso,GR,25,11,112,7.3,0.450,0.000,0.042,9.0,15.0,12.0,6.6,1.8,6.5,26.9,13.1,,-0.2,0.2,0.0,0.012,,-5.8,4.2,-1.6,0.0
Andrew Andrew,DE,24,4,58,9.6,0.538,0.250,0.050,1.8,5.4,3.6,35.2,0.0,0.0,22.7,19.0,,0.0,0.0,0.0,0.023,,-2.8,-6.2,-9.0,-0.2
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Zach Andrew,NA,32,2,17,1.4,0.410,0.500,0.500,0.0,24.7,12.3,0.0,2.7,0.0,29.1,8.2,,0.0,0.0,0.0,-0.041,,-8.5,-1.7,-10.1,-0.1
Ike Anigbog,FO,,10,243,11.7,0.454,0.016,0.148,7.7,25.4,16.2,8.4,0.6,6.4,12.2,12.8,,0.0,0.3,0.3,0.065,,-3.6,2.7,-0.9,0.1
Ryan Arcidiacon,WC,23,23,913,15.0,0.622,0.439,0.248,1.6,11.5,6.7,27.4,2.3,0.4,19.9,14.0,,1.8,1.1,2.8,0.148,,2.0,0.6,2.5,1.7
Brent Arringto,SW,25,3,28,17.0,0.611,0.222,0.000,0.0,19.7,9.6,23.6,3.4,0.0,10.0,15.2,,0.1,0.0,0.1,0.171,,0.1,0.7,0.9,0.0
Jamel Arti,LK,25,25,956,15.8,0.565,0.368,0.190,4.3,15.0,9.6,10.2,1.6,0.8,12.3,22.7,,1.0,1.1,2.0,0.101,,1.1,-0.6,0.5,1.0
Brandon Ashle,TE,23,24,692,16.0,0.527,0.339,0.264,7.1,16.8,11.7,5.7,1.9,3.9,10.9,21.8,,0.6,0.7,1.4,0.095,,-0.2,0.3,0.1,0.6
Brandon Austi,RE,,14,241,14.5,0.493,0.236,0.293,4.2,13.2,8.6,12.0,2.5,0.4,8.0,25.4,,0.1,0.3,0.4,0.089,,-0.8,-0.4,-1.2,0.1
J.J. Avil,TE,26,29,470,11.0,0.506,0.559,0.172,6.1,19.9,12.7,7.4,1.7,0.5,12.4,14.9,,0.3,0.4,0.7,0.072,,-0.6,-0.8,-1.4,0.1
Dwayne Baco,SW,,4,143,18.2,0.489,0.240,0.096,0.7,20.1,10.1,25.0,2.0,0.0,8.4,35.2,,-0.1,0.2,0.1,0.027,,0.3,-1.5,-1.2,0.0
Ian Bake,SB,24,9,65,4.4,0.437,0.435,0.217,3.4,9.6,6.6,17.9,1.4,0.0,26.3,22.0,,-0.2,0.0,-0.1,-0.098,,-6.0,-2.2,-8.2,-0.2
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Ron Bake,WE,24,3,110,11.4,0.727,0.762,0.333,2.0,9.1,5.6,1.2,4.1,0.0,22.5,12.5,,0.1,0.2,0.3,0.119,,0.6,0.7,1.4,0.2
Gracin Bakumany,WI,20,4,61,10.2,0.554,0.000,0.211,7.2,17.1,12.3,4.9,3.1,0.0,25.2,18.9,,-0.1,0.1,0.0,0.004,,-4.9,-0.4,-5.3,-0.1
Wade Baldwi,TE,21,14,463,17.1,0.530,0.256,0.389,1.7,12.5,6.9,19.4,2.7,0.9,12.7,24.0,,0.6,0.4,1.0,0.106,,0.8,-0.4,0.4,0.5
Cat Barbe,SW,23,15,412,14.3,0.504,0.213,0.309,3.5,10.4,6.9,24.3,1.9,0.4,14.8,24.5,,0.0,0.3,0.3,0.040,,-1.0,-1.0,-2.0,0.0
Drew Barha,MA,28,16,140,11.3,0.650,0.750,0.188,4.6,14.9,9.7,9.0,1.4,1.7,14.8,12.3,,0.2,0.1,0.4,0.120,,0.6,-0.3,0.4,0.1
Devon Baulkma,WE,26,15,174,11.3,0.439,0.341,0.318,9.1,10.3,9.7,3.8,3.7,2.0,9.1,14.0,,0.0,0.3,0.3,0.083,,-2.1,1.6,-0.5,0.1
V.J. Beache,SB,23,28,592,11.4,0.566,0.569,0.157,1.7,10.2,6.1,3.0,1.3,1.4,8.0,16.7,,0.5,0.3,0.8,0.068,,-0.3,-1.4,-1.7,0.1
Beau Beec,HA,23,1,17,6.8,0.600,0.800,0.000,6.2,19.1,12.6,0.0,0.0,0.0,16.7,14.8,,0.0,0.0,0.0,0.049,,-3.6,-6.0,-9.6,-0.1
Chane Behana,SL,25,9,195,12.5,0.547,0.058,0.365,10.6,17.3,13.7,10.4,1.2,3.2,21.0,16.8,,0.1,0.1,0.2,0.048,,-3.1,1.2,-1.9,0.0
DeAndre' Bembr,HA,23,4,105,14.5,0.513,0.103,0.282,5.0,20.6,12.7,18.0,4.1,0.8,18.6,21.5,,0.0,0.2,0.2,0.075,,-2.7,2.7,0.0,0.1
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Anthony Bennet,NA,24,14,291,20.2,0.672,0.413,0.394,10.7,17.0,13.8,12.9,1.3,2.6,20.3,21.3,,0.7,0.2,1.0,0.161,,2.7,-0.3,2.4,0.5
Anthony Bennet,MA,24,8,235,14.8,0.585,0.617,0.198,5.5,21.9,13.7,6.3,1.6,2.4,13.7,18.4,,0.3,0.3,0.5,0.111,,0.1,0.1,0.2,0.2
Anthony Bennet,TOT,24,22,526,17.8,0.635,0.503,0.308,8.4,19.2,13.7,10.0,1.4,2.5,17.6,20.0,,1.0,0.5,1.5,0.139,,1.5,-0.1,1.4,0.8
Malcolm Bernar,GR,24,17,268,3.1,0.336,0.319,0.125,3.7,18.8,11.2,5.3,3.0,0.7,20.8,15.7,,-0.8,0.4,-0.4,-0.074,,-7.7,1.4,-6.3,-0.5
Davion Berr,RA,26,26,670,14.1,0.584,0.500,0.399,1.4,9.3,5.3,10.3,2.0,0.3,11.8,19.9,,1.1,0.9,2.1,0.149,,1.1,-0.4,0.7,0.8
Davis Bertan,AU,25,1,31,33.1,0.760,0.688,0.250,3.7,14.0,9.0,6.1,3.2,2.6,5.3,26.5,,0.2,0.1,0.2,0.379,,10.5,-1.6,8.9,0.1
