GLG_Player,GLG_Tm,GLG_Age,GLG_G,GLG_MP,GLG_PER,GLG_TS%,GLG_3PAr,GLG_FTr,GLG_ORB%,GLG_DRB%,GLG_TRB%,GLG_AST%,GLG_STL%,GLG_BLK%,GLG_TOV%,GLG_USG%,GLG_Ws-dum,GLG_OWS,GLG_DWS,GLG_WS,GLG_WS/48,GLG_Bpm-dum,GLG_OBPM,GLG_DBPM,GLG_BPM,GLG_VORP
Aaron Bes,RA,26,30,815,8.5,0.558,0.620,0.345,2.2,9.4,5.8,7.8,1.4,0.1,14.7,12.4,,0.6,1.0,1.6,0.096,,-0.7,0.5,-0.1,0.6
Michael Bethea Jr,RE,,14,154,11.0,0.529,0.651,0.048,2.0,15.2,8.5,0.9,1.2,0.6,1.5,17.2,,0.1,0.2,0.3,0.092,,-0.6,-2.8,-3.4,-0.1
Gerald Beverl,CA,24,24,373,21.7,0.589,0.024,0.304,13.6,17.8,15.6,4.8,1.7,6.6,7.2,17.5,,1.0,0.5,1.5,0.191,,0.5,1.9,2.4,0.7
Khem Birc,LK,25,20,653,22.3,0.635,0.000,0.382,11.1,21.7,16.4,12.2,1.8,7.3,16.8,17.6,,1.5,1.2,2.7,0.202,,1.0,5.2,6.2,2.2
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Jabari Bir,MA,23,19,696,18.3,0.591,0.391,0.209,5.3,12.6,8.9,12.2,1.9,1.2,11.9,22.4,,1.2,0.6,1.7,0.120,,2.6,-0.2,2.3,1.3
James Blackmon Jr,DE,22,28,718,14.1,0.576,0.522,0.354,1.0,12.2,6.7,14.9,1.1,0.0,11.4,20.3,,1.1,0.3,1.5,0.097,,1.2,-2.6,-1.4,0.2
Antonio Blakene,WC,21,20,792,26.0,0.602,0.320,0.353,2.6,16.9,9.9,21.7,1.5,0.9,11.0,34.7,,2.4,0.9,3.3,0.198,,5.5,-1.0,4.5,2.1
Joshua Blamo,WI,,3,39,3.5,0.368,0.533,0.200,0.0,10.7,5.5,7.2,1.2,0.0,10.9,19.5,,-0.1,0.0,-0.1,-0.111,,-6.4,-3.6,-10.0,-0.1
Jaron Blossomgam,AU,24,30,879,20.9,0.592,0.132,0.223,8.6,21.0,15.0,7.5,1.7,0.9,9.3,21.9,,2.2,1.3,3.5,0.192,,1.3,0.0,1.3,1.2
Vander Blu,SB,25,15,520,14.5,0.512,0.394,0.301,1.5,9.2,5.5,21.8,2.0,0.2,12.6,25.6,,0.4,0.3,0.7,0.064,,0.3,-1.5,-1.3,0.2
Joel Bolombo,WI,24,15,486,22.7,0.668,0.108,0.361,14.1,21.9,18.1,5.5,1.2,1.9,12.3,18.8,,1.6,0.5,2.1,0.204,,2.9,-0.7,2.2,0.9
Askia Booke,NA,24,19,580,16.1,0.523,0.551,0.234,2.5,13.4,7.9,27.8,2.8,0.3,16.6,25.3,,0.5,0.5,1.0,0.084,,1.6,-0.9,0.7,0.7
Askia Booke,DE,24,9,306,11.3,0.538,0.355,0.282,1.4,9.6,5.5,26.6,1.9,0.2,24.4,22.3,,-0.2,0.2,0.0,0.002,,-2.0,-2.0,-3.9,-0.2
Askia Booke,TOT,24,28,886,14.4,0.527,0.495,0.247,2.1,12.1,7.1,27.4,2.5,0.3,19.0,24.2,,0.3,0.7,1.0,0.056,,0.3,-1.3,-0.9,0.4
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Chris Bouche,SA,25,2,30,20.1,0.498,0.294,0.412,11.8,13.0,12.5,0.0,0.0,11.1,4.7,30.3,,0.0,0.0,0.0,0.077,,-4.6,-4.4,-9.0,-0.1
Jalen Bradle,SF,24,22,322,10.9,0.558,0.425,0.300,2.5,12.1,7.2,18.6,1.4,0.3,18.8,14.3,,0.3,0.2,0.5,0.068,,-1.8,-1.4,-3.2,-0.2
Tony Bradle,SL,,15,435,23.3,0.603,0.023,0.209,14.7,24.8,19.5,7.6,1.3,3.5,8.5,20.8,,1.3,0.4,1.7,0.189,,1.3,0.6,1.9,0.7
Stephaun Branc,SB,22,28,567,16.8,0.498,0.288,0.281,11.3,18.9,15.2,6.4,3.1,1.9,11.5,24.3,,0.1,0.8,0.9,0.076,,-1.4,0.3,-1.1,0.2
Chris Braswel,HA,,1,15,-1.8,0.333,0.667,0.000,0.0,21.7,10.7,8.9,0.0,0.0,25.0,11.2,,0.0,0.0,0.0,-0.077,,-8.2,-1.1,-9.3,0.0
Taylor Brau,SL,26,29,984,13.3,0.582,0.504,0.231,2.6,15.5,8.7,12.6,2.4,0.8,9.2,12.3,,1.5,0.8,2.3,0.112,,0.7,1.3,2.1,1.7
Amida Brima,AU,23,29,655,15.3,0.612,0.000,0.579,11.0,23.0,17.2,4.7,0.8,9.5,22.7,12.4,,0.6,1.4,2.0,0.145,,-2.4,5.6,3.3,1.4
Anthony Brow,WO,25,27,1073,14.6,0.557,0.370,0.225,1.8,14.0,8.0,13.6,0.9,0.9,13.0,23.3,,0.7,0.6,1.3,0.060,,0.2,-1.0,-0.8,0.5
Lorenzo Brow,RA,27,21,708,21.5,0.550,0.205,0.260,1.8,14.3,8.1,48.9,2.8,0.7,18.2,27.6,,1.4,1.3,2.7,0.180,,3.7,1.4,5.1,2.1
Markel Brow,RI,26,3,119,14.1,0.567,0.422,0.089,4.5,13.4,9.0,16.9,0.8,0.0,11.4,17.6,,0.2,0.0,0.2,0.101,,1.5,-2.6,-1.1,0.0
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Markel Brow,OK,26,22,690,18.0,0.593,0.589,0.192,2.3,12.2,7.4,12.5,2.1,1.7,9.3,21.4,,1.4,0.8,2.1,0.148,,2.5,-0.1,2.5,1.3
Markel Brow,TOT,26,25,809,17.4,0.590,0.567,0.178,2.7,12.4,7.6,13.2,1.9,1.4,9.6,20.9,,1.6,0.8,2.4,0.141,,2.4,-0.4,1.9,1.3
Shannon Brow,WI,32,26,443,6.4,0.441,0.205,0.129,4.2,9.4,6.9,6.6,1.6,0.0,13.6,15.2,,-0.4,0.2,-0.2,-0.023,,-4.1,-1.4,-5.5,-0.6
Sterling Brow,WI,,3,98,15.5,0.515,0.298,0.246,5.6,13.9,9.9,10.3,2.9,0.9,16.0,31.9,,-0.1,0.1,0.0,0.001,,-2.5,-2.1,-4.6,-0.1
Vitto Brow,WI,22,5,88,14.5,0.517,0.114,0.114,17.6,14.2,15.9,5.2,1.6,1.0,16.0,20.7,,0.0,0.1,0.1,0.060,,-1.4,-2.1,-3.5,-0.1
Vitto Brow,TOT,22,24,470,11.1,0.486,0.434,0.163,7.6,16.5,12.1,6.7,1.2,1.6,10.1,17.7,,0.1,0.4,0.5,0.054,,-1.7,-0.7,-2.4,-0.1
Vitto Brow,AC,22,19,382,10.4,0.478,0.519,0.176,5.4,17.0,11.3,7.0,1.1,1.8,8.4,17.0,,0.1,0.3,0.4,0.053,,-1.8,-0.3,-2.1,0.0
Nicolas Brussin,HA,24,8,187,16.3,0.590,0.500,0.133,3.9,22.6,13.2,23.2,3.3,1.8,23.9,18.7,,0.1,0.4,0.5,0.118,,-0.1,3.0,2.9,0.4
Thomas Bryan,SB,,20,597,25.4,0.700,0.415,0.262,7.2,19.0,13.3,7.6,1.2,4.3,10.8,22.8,,2.1,0.6,2.8,0.221,,5.3,0.6,5.9,2.0
Michael Bryso,WO,23,27,634,11.2,0.656,0.618,0.224,1.4,11.0,6.3,5.8,1.3,2.4,17.7,14.1,,0.6,0.4,1.0,0.078,,0.0,0.2,0.1,0.6
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Trey Burk,WE,25,26,961,24.1,0.592,0.314,0.247,1.9,8.1,5.0,25.5,2.6,0.4,10.9,30.1,,2.8,1.1,3.9,0.194,,5.1,-1.4,3.7,2.3
Trahson Burrel,ME,25,26,877,17.5,0.578,0.357,0.224,8.2,19.5,13.9,15.8,2.3,1.4,14.8,16.8,,1.7,0.6,2.3,0.126,,2.8,1.4,4.2,2.3
Deonte Burto,SL,26,26,606,11.3,0.549,0.272,0.536,1.9,10.5,5.9,19.2,1.9,0.9,18.7,16.2,,0.3,0.3,0.7,0.052,,-2.2,-0.6,-2.7,-0.2
Dwight Buyck,GR,28,10,356,16.1,0.525,0.293,0.230,2.2,11.3,6.7,19.8,1.3,0.3,12.5,29.6,,0.2,0.3,0.5,0.061,,0.2,-2.2,-2.1,0.0
Bruno Cabocl,RA,22,29,903,16.9,0.527,0.516,0.181,6.9,17.6,12.3,7.2,2.5,5.2,12.3,22.9,,0.6,2.0,2.6,0.140,,0.4,3.3,3.7,2.1
Isaiah Canaa,NA,26,1,25,23.9,0.836,0.444,0.444,0.0,12.6,6.3,38.6,0.0,3.3,31.7,25.5,,0.1,0.0,0.1,0.195,,2.8,-3.7,-1.0,0.0
Devin Carte,WO,24,1,3,-24.7,0.000,0.000,0.000,0.0,0.0,0.0,40.8,0.0,0.0,50.0,29.4,,0.0,0.0,0.0,-0.698,,-28.1,-11.1,-39.3,0.0
Alex Carus,SB,23,19,591,21.6,0.634,0.281,0.437,2.4,10.4,6.5,34.8,3.2,0.8,21.6,24.9,,1.5,0.6,2.1,0.169,,3.4,0.2,3.7,1.4
Kyle Case,WI,28,31,693,11.2,0.564,0.264,0.275,4.3,17.2,10.9,10.4,1.2,3.2,17.4,14.8,,0.4,0.6,1.0,0.072,,-1.6,1.2,-0.4,0.5
Troy Caupai,LK,22,28,1069,15.9,0.523,0.376,0.251,3.5,17.2,10.3,23.2,1.8,0.5,12.5,18.7,,1.4,1.3,2.7,0.119,,1.3,0.8,2.0,1.8
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Tyler Cavanaug,HA,23,3,108,18.7,0.619,0.457,0.043,12.7,25.1,18.8,0.0,0.4,0.8,7.9,19.8,,0.2,0.1,0.4,0.160,,-0.5,-6.7,-7.2,-0.2
Gian Clavel,TE,,1,36,22.9,0.637,0.571,0.190,0.0,20.9,10.0,4.4,0.0,2.4,4.2,25.9,,0.1,0.0,0.1,0.172,,3.2,-5.2,-2.1,0.0
Antonius Clevelan,TOT,23,7,185,20.2,0.632,0.185,0.354,5.1,8.6,6.9,11.6,3.1,0.9,6.2,18.4,,0.6,0.2,0.8,0.213,,3.2,-0.5,2.7,0.4
Antonius Clevelan,TE,23,1,31,10.0,0.381,0.071,0.286,0.0,6.9,3.3,8.4,4.4,0.0,0.0,20.0,,0.0,0.0,0.0,0.011,,-4.7,-1.2,-5.8,-0.1
Antonius Clevelan,SA,23,6,154,22.2,0.699,0.216,0.373,6.1,8.9,7.6,12.3,2.8,1.1,7.8,18.0,,0.6,0.2,0.8,0.254,,4.8,-0.4,4.4,0.4
Mike Cobbin,OK,25,29,756,13.4,0.629,0.006,0.363,9.6,11.8,10.7,3.8,1.3,2.2,13.0,12.3,,1.2,0.7,1.9,0.123,,-0.8,1.0,0.3,0.7
Kyle Collinswort,TE,26,19,679,14.6,0.553,0.216,0.299,7.5,17.6,12.3,18.0,2.2,0.6,20.6,13.8,,0.8,0.6,1.4,0.099,,1.1,1.8,2.9,1.4
Chance Comanch,ME,21,25,376,18.9,0.612,0.008,0.500,15.5,16.5,16.0,4.6,0.6,2.5,12.7,19.9,,1.0,0.1,1.1,0.146,,0.7,-2.5,-1.7,0.0
Charles Cook,TOT,23,19,496,14.9,0.557,0.320,0.320,3.2,14.1,8.4,12.9,2.2,1.4,17.0,24.3,,-0.1,0.5,0.4,0.043,,-1.3,-0.1,-1.4,0.1
Charles Cook,SW,23,16,427,15.7,0.558,0.305,0.332,3.4,14.5,8.8,13.5,2.4,1.6,17.7,25.9,,-0.1,0.5,0.4,0.041,,-1.2,0.1,-1.0,0.2
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Charles Cook,SL,23,3,69,10.2,0.554,0.474,0.211,1.5,11.8,6.3,8.9,1.4,0.0,8.8,14.1,,0.0,0.0,0.1,0.051,,-1.9,-2.0,-3.9,-0.1
Quinn Coo,SA,24,21,755,23.0,0.638,0.360,0.247,1.6,12.6,7.6,35.1,1.3,0.7,17.4,27.9,,2.3,0.6,2.9,0.187,,5.4,-1.6,3.7,1.8
Jack Coole,RE,26,22,560,25.1,0.625,0.008,0.463,18.8,17.5,18.1,7.2,2.2,1.6,13.1,24.3,,1.9,0.8,2.7,0.235,,3.9,0.8,4.7,1.6
Jack Coole,TOT,26,32,929,24.3,0.611,0.174,0.377,14.8,16.2,15.5,11.0,1.9,2.7,12.4,25.3,,2.9,1.1,4.0,0.206,,3.9,0.7,4.7,2.5
Jack Coole,SF,26,10,369,23.0,0.593,0.384,0.268,8.7,14.3,11.5,16.6,1.4,4.4,11.3,26.8,,0.9,0.3,1.2,0.162,,4.0,0.6,4.6,1.0
Matt Costell,AU,24,18,409,21.2,0.571,0.228,0.268,12.6,24.4,18.7,12.5,2.0,8.6,17.0,18.3,,0.7,1.0,1.7,0.194,,0.5,6.2,6.7,1.5
Isaiah Cousin,SL,23,18,383,13.4,0.523,0.346,0.115,1.9,14.9,8.0,23.3,2.0,0.7,16.9,25.7,,-0.2,0.3,0.1,0.010,,-1.4,-1.3,-2.6,-0.1
Jordon Crawfor,ME,27,27,504,15.8,0.585,0.294,0.129,1.7,6.6,4.2,26.8,2.8,0.6,19.6,20.8,,0.6,0.2,0.9,0.082,,0.8,-2.4,-1.6,0.1
DeAndre Daniel,TOT,25,7,129,7.0,0.423,0.571,0.286,9.1,18.4,13.7,1.1,1.9,4.6,20.2,19.3,,-0.3,0.2,-0.1,-0.046,,-6.9,-0.8,-7.7,-0.3
DeAndre Daniel,AC,25,1,35,16.5,0.694,0.500,1.000,6.2,15.0,10.6,0.0,2.8,7.2,25.8,18.7,,0.0,0.1,0.1,0.129,,-2.9,0.9,-2.0,0.0
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
DeAndre Daniel,MA,25,3,32,-7.1,0.125,0.875,0.000,3.4,17.1,10.2,0.0,1.5,2.5,27.3,14.6,,-0.2,0.0,-0.2,-0.250,,-12.8,-1.9,-14.7,-0.2
DeAndre Daniel,HA,25,3,62,8.9,0.396,0.500,0.154,13.6,21.0,17.2,2.3,1.5,4.1,15.3,22.2,,-0.1,0.1,-0.1,-0.040,,-6.0,-1.3,-7.3,-0.1
Wesley Da Silv,GR,21,3,29,1.4,0.357,0.571,0.000,7.7,3.9,5.8,4.9,1.7,0.0,30.0,15.1,,-0.1,0.0,-0.1,-0.120,,-6.4,-1.3,-7.7,-0.1
Deyonta Davi,ME,,2,52,28.4,0.565,0.000,0.111,10.4,14.4,12.4,0.0,5.4,9.0,3.4,23.2,,0.1,0.1,0.2,0.207,,-0.9,1.3,0.4,0.1
Trey Davi,MA,24,25,598,21.2,0.572,0.398,0.294,1.5,10.5,5.9,32.0,2.3,0.5,12.5,28.3,,1.6,0.5,2.1,0.167,,4.1,-1.9,2.2,1.0
Will Davi,RE,25,27,496,19.2,0.640,0.006,0.392,10.9,13.1,12.0,3.6,1.2,2.9,12.6,18.2,,1.3,0.5,1.8,0.174,,0.8,0.6,1.4,0.7
Andre Dawkin,AC,26,22,558,12.2,0.572,0.777,0.228,1.9,6.8,4.4,9.2,1.1,0.5,9.0,17.7,,0.8,0.2,1.0,0.090,,2.0,-2.2,-0.2,0.4
John Dawso,SW,22,17,130,9.0,0.537,0.714,0.071,0.8,12.7,6.6,13.2,3.0,2.7,17.2,11.4,,0.0,0.2,0.2,0.074,,-2.2,1.9,-0.3,0.1
Cody Demp,RE,,26,571,14.0,0.596,0.397,0.450,6.8,18.4,12.5,8.3,1.5,1.9,10.3,12.4,,1.1,0.7,1.8,0.155,,1.2,2.2,3.4,1.3
Justin Dentmo,TE,32,24,893,23.0,0.609,0.549,0.390,1.2,9.5,5.2,16.4,2.9,0.1,9.6,27.0,,3.2,0.7,3.9,0.212,,6.8,-2.0,4.9,2.6
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
George De Paul,RI,21,6,26,3.4,1.197,1.000,2.000,0.0,0.0,0.0,9.1,0.0,0.0,61.5,14.9,,0.0,0.0,-0.1,-0.118,,-3.5,-7.1,-10.5,-0.1
Malik Dim,NA,25,7,30,-4.6,0.266,0.000,2.000,3.5,17.5,10.4,3.9,0.0,2.8,68.0,7.9,,-0.1,0.0,-0.1,-0.144,,-10.5,1.1,-9.4,-0.1
Daniel Dingl,MA,,17,268,7.2,0.452,0.379,0.241,4.0,6.5,5.3,14.5,1.3,1.2,14.6,11.9,,0.1,0.1,0.2,0.032,,-2.6,-0.6,-3.2,-0.1
Daniel Dixo,MA,23,25,751,11.3,0.547,0.641,0.205,2.9,11.1,7.0,10.5,1.0,0.6,12.4,18.2,,0.6,0.4,1.0,0.063,,0.5,-1.5,-0.9,0.3
Sidy Djitt,SL,,7,77,1.2,0.447,0.000,0.267,12.0,24.1,17.7,3.7,1.3,3.4,45.5,17.1,,-0.3,0.1,-0.2,-0.146,,-11.2,1.1,-10.1,-0.3
Damonte Dod,NA,,1,7,-8.3,0.000,0.000,0.000,0.0,15.0,7.4,16.6,0.0,0.0,50.0,11.6,,0.0,0.0,0.0,-0.251,,-14.0,-1.2,-15.2,0.0
Damonte Dod,MA,,2,15,-0.3,0.250,0.000,0.000,14.5,7.3,10.9,0.0,3.2,5.4,20.0,14.1,,0.0,0.0,0.0,-0.077,,-8.9,1.0,-7.9,0.0
Damonte Dod,TOT,,3,22,-2.8,0.200,0.000,0.000,9.9,9.8,9.8,5.3,2.2,3.7,28.6,13.3,,-0.1,0.0,-0.1,-0.132,,-10.5,0.3,-10.2,-0.1
Tyler Dorse,HA,,10,330,18.0,0.566,0.519,0.186,4.8,16.4,10.5,12.3,2.0,0.5,9.6,23.7,,0.5,0.4,0.9,0.133,,2.5,-0.8,1.6,0.5
Damyean Dotso,WE,,11,387,15.2,0.588,0.404,0.167,1.2,18.1,9.7,11.0,1.4,0.2,14.3,22.3,,0.3,0.4,0.7,0.093,,-0.1,-1.0,-1.1,0.1
